path,title,layer,type,audio_file,audio_script_chars,youtube_id,youtube_title,vimeo_id,vimeo_title,resource_links
"0","DeFi 4U Academy","course","section","","0","","","","","Whitepaper executive summary=https://whitepaper.rwanftfi.com/en/executive-summary"
"0.0","Greeting - Welcome Video","utility","lesson","","0","","","","","Whitepaper executive summary=https://whitepaper.rwanftfi.com/en/executive-summary"
"0.1","Module 1 - DeFi","section","section","","2388","","","","",""
"0.1.0","Introduction to DeFi","section","section","","2637","","","","",""
"0.1.0.0","What is Finance?","core","lesson","","1132","H-O3r2YMWJ4","","","",""
"0.1.0.1","What is Blockchain?","core","lesson","","1215","j78ZcIIpi0Q","Recommended video: Ethereum Basics — Intro","","","Primary reference — Ethereum.org: Technical intro to Ethereum=https://ethereum.org/developers/docs/intro-to-ethereum/ ; Ethereum.org — What is Web3?=https://ethereum.org/web3/ ; Ethereum.org — Smart contracts=https://ethereum.org/smart-contracts/ ; Ethereum.org — What is a DAO?=https://ethereum.org/dao/ ; Ethereum.org — Decentralized applications=https://ethereum.org/developers/docs/dapps/ ; Recommended video — Ethereum Basics: Intro=https://www.youtube.com/watch?v=j78ZcIIpi0Q ; Recommended video — Finematics: Smart Contracts Explained=https://www.youtube.com/watch?v=pWGLtjG-F5c"
"0.1.0.2","What is Ethereum?","core","lesson","","1276","_JT27HyzTUM","What is ETHEREUM? Explained in 3 Minutes — CoinGecko","","",""
"0.1.0.3","What is DeFi?","core","lesson","audio/coach_0.1.0.3.mp3","926","17QRFlml4pA","Whiteboard Crypto — What is DeFi? (Animated)","","","Primary reference — Ethereum.org: Decentralized finance=https://ethereum.org/defi/ ; Explore DeFi applications — Ethereum.org=https://ethereum.org/apps/categories/defi ; Recommended video — Finematics: What is DeFi?=https://www.youtube.com/watch?v=k9HYC0EJU6E"
"0.1.1","Wallets & Security","section","section","","2730","","","","",""
"0.1.1.0","What is a Crypto Wallet?","core","lesson","audio/coach_0.1.1.0.mp3","387","SQyg9pyJ1Ac","Recommended video: Whiteboard Crypto — Cryptocurrency Wallets Explained","","","MetaMask Learn — Web3 101=https://learn.metamask.io/ ; MetaMask — Secure your Secret Recovery Phrase=https://support.metamask.io/start/user-guide-secret-recovery-phrase-password-and-private-keys ; MetaMask — Revoke token approvals=https://support.metamask.io/more-web3/learn/how-to-revoke-smart-contract-allowances-token-approvals ; Recommended video — Whiteboard Crypto — Cryptocurrency Wallets Explained=https://www.youtube.com/watch?v=SQyg9pyJ1Ac"
"0.1.1.1","Private Keys & Seed Phrases","core","lesson","","1263","vi4cPN_4VPc","Recommended video: Whiteboard Crypto — Seed Phrases, Private Keys & Addresses","","","MetaMask — Secure your Secret Recovery Phrase=https://support.metamask.io/start/user-guide-secret-recovery-phrase-password-and-private-keys ; MetaMask — Basic safety and security=https://support.metamask.io/stay-safe/safety-in-web3/basic-safety-and-security-tips-for-metamask ; Recommended video — Whiteboard Crypto — Seed Phrases, Private Keys & Addresses=https://www.youtube.com/watch?v=vi4cPN_4VPc"
"0.1.1.2","Connecting a Wallet","core","lesson","audio/coach_0.1.1.2.mp3","394","SQyg9pyJ1Ac","Recommended video: Whiteboard Crypto — Cryptocurrency Wallets Explained","","","MetaMask — Revoke token approvals=https://support.metamask.io/more-web3/learn/how-to-revoke-smart-contract-allowances-token-approvals ; Recommended video — Whiteboard Crypto — Cryptocurrency Wallets Explained=https://www.youtube.com/watch?v=SQyg9pyJ1Ac"
"0.1.1.3","Basic Security","core","lesson","audio/coach_0.1.1.3.mp3","390","u4pp7-rLTaY","DeFi Dad Beginner Playlist — Top 7 Risks of DeFi","","","MetaMask — Basic safety and security=https://support.metamask.io/stay-safe/safety-in-web3/basic-safety-and-security-tips-for-metamask ; CoinGecko — Master guide to crypto security=https://www.coingecko.com/learn/master-guide-to-crypto-security ; CISA — Multifactor authentication guidance=https://www.cisa.gov/audiences/small-and-medium-businesses/secure-your-business/require-multifactor-authentication ; FTC — Cryptocurrency and scam safety=https://consumer.ftc.gov/articles/what-know-about-cryptocurrency-scams ; Recommended video — Whiteboard Crypto — Seed Phrases, Private Keys & Addresses=https://www.youtube.com/watch?v=vi4cPN_4VPc"
"0.1.2","Using DeFi","section","section","","2589","","","","",""
"0.1.2.0","CEX vs. DEX","core","lesson","","1327","2tTVJL4bpTU","Recommended video: Whiteboard Crypto — What Is a DEX?","","","Uniswap — How the protocol works=https://developers.uniswap.org/docs/get-started/concepts/how-uniswap-works ; Recommended video — Whiteboard Crypto — What Is a DEX?=https://www.youtube.com/watch?v=2tTVJL4bpTU"
"0.1.2.1","dApps","core","lesson","audio/coach_0.1.2.1.mp3","545","6INAMi9n8FA","DeFi Dad Beginner Playlist — Common Uses of DeFi","","","Ethereum.org — Decentralized finance=https://ethereum.org/defi/ ; Uniswap — How the protocol works=https://developers.uniswap.org/docs/get-started/concepts/how-uniswap-works ; Aave — Introduction to Aave=https://aave.com/help/aave-101/introduction-to-aave ; Recommended video — CoinGecko — CEX vs DEX=https://www.youtube.com/watch?v=OVyn07EmEAw"
"0.1.2.2","Token Swaps","core","lesson","","1316","2tTVJL4bpTU","Recommended video: Whiteboard Crypto — What Is a DEX?","","","Uniswap — How the protocol works=https://developers.uniswap.org/docs/get-started/concepts/how-uniswap-works ; MetaMask — Revoke token approvals=https://support.metamask.io/more-web3/learn/how-to-revoke-smart-contract-allowances-token-approvals ; Recommended video — Whiteboard Crypto — What Is a DEX?=https://www.youtube.com/watch?v=2tTVJL4bpTU"
"0.1.2.3","Liquidity Pools","core","lesson","","1351","dVJzcFDo498","Recommended video: Whiteboard Crypto — Liquidity Pools Explained","","","Uniswap Labs — What is a liquidity pool?=https://support.uniswap.org/hc/en-us/articles/8829880740109-What-is-a-liquidity-pool- ; Uniswap Developers — Liquidity overview=https://developers.uniswap.org/docs/liquidity/overview ; Recommended video — Whiteboard Crypto — Liquidity Pools Explained=https://www.youtube.com/watch?v=dVJzcFDo498"
"0.1.2.4","AMMs","core","lesson","","1419","1PbZMudPP5E","What is an Automated Market Maker? — Whiteboard Crypto","","",""
"0.1.2.5","Gas & Slippage","core","lesson","audio/coach_0.1.2.5.mp3","444","d7ulxd3R97E","DeFi Dad Beginner Playlist — Layer 1 & Layer 2","","","Kraken — Crypto deposit guide=https://support.kraken.com/articles/360000672643-how-to-deposit-cryptocurrencies-to-your-kraken-account ; Kraken — Multiple networks for deposits & withdrawals=https://support.kraken.com/articles/multiple-networks-and-methods-on-kraken ; Coinbase — Steps to receive crypto=https://help.coinbase.com/en/coinbase/trading-and-funding/cryptocurrency-trading-pairs/steps-to-receive-crypto"
"0.1.3","Earning in DeFi","section","section","","2561","","","","",""
"0.1.3.0","Staking","core","lesson","","1278","ja_Irb5LS1k","Recommended video: CoinGecko — What Does Staking Mean?","","","Ethereum.org — Proof of Stake=https://ethereum.org/developers/docs/consensus-mechanisms/pos/ ; Recommended video — CoinGecko — What Does Staking Mean?=https://www.youtube.com/watch?v=ja_Irb5LS1k"
"0.1.3.1","Yield Farming","core","lesson","audio/coach_0.1.3.1.mp3","480","qoB5rYSePgk","Recommended video: CoinGecko — What Is Yield Farming?","","","CoinGecko — Yield farming guide=https://www.coingecko.com/learn/what-is-yield-farming ; Recommended video — CoinGecko — What Is Yield Farming?=https://www.youtube.com/watch?v=qoB5rYSePgk"
"0.1.3.2","Liquidity Mining","core","lesson","","1272","LaeI5D6NDvw","What is Yield Farming in Crypto? (+4 Examples) — Whiteboard Crypto","","",""
"0.1.3.3","Impermanent Loss","core","lesson","","1409","rNDjgnDJd9A","Recommended video: CoinGecko — APR, APY & Impermanent Loss","","","Recommended video — CoinGecko: APR, APY & Impermanent Loss=https://www.youtube.com/watch?v=rNDjgnDJd9A ; Uniswap — Liquidity overview=https://developers.uniswap.org/docs/liquidity/overview"
"0.1.4","Lending & Borrowing","section","section","","2513","","","","",""
"0.1.4.0","How DeFi Lending Works","core","lesson","","1358","aTp9er6S73M","Recommended video: Finematics — DeFi Lending & Borrowing","","","Aave — Introduction to Aave=https://aave.com/help/aave-101/introduction-to-aave ; Aave — Borrowing guide=https://aave.com/help/borrowing/borrow-tokens ; Recommended video — Finematics — DeFi Lending & Borrowing=https://www.youtube.com/watch?v=aTp9er6S73M"
"0.1.4.1","Aave","core","lesson","","1373","dTCwssZ116A","What is AAVE? Borrowing and Lending Explained — Whiteboard Crypto","","",""
"0.1.4.2","Borrowing & Collateral","core","lesson","","1504","","","","",""
"0.1.4.3","Liquidation & Flash Loans","core","lesson","","1422","rzhpCtz931E","What Does It Mean To Get LIQUIDATED? — CoinGecko","","",""
"0.1.5","Stablecoins","section","section","","2349","","","","",""
"0.1.5.0","What Are Stablecoins?","core","lesson","","1344","8XX421H5NtU","Recommended video: CoinGecko — 3 Main Types of Stablecoins","","","Ethereum.org — Stablecoins explained=https://ethereum.org/stablecoins ; Recommended video — CoinGecko: 3 Main Types of Stablecoins=https://www.youtube.com/watch?v=8XX421H5NtU"
